battery,cycle,v_mean,v_min,v_max,v_std,i_mean,i_std,t_mean,t_min,t_max,t_std,discharge_duration,delta_v,soc
B0005,2,3.532781069916797,2.612467347907089,4.191491807505295,0.2359523925903489,-1.8373602406777925,0.5685747737007243,32.536890917131714,24.325993424022467,38.98218133148803,3.49600635831694,3690.234,1.5790244595982057,1.0
B0005,4,3.542967988335518,2.587208728940726,4.188881380279099,0.2272564462603265,-1.874999828758124,0.5089299054251025,32.643595085177715,24.685948163596,39.03339796678704,3.349390257453495,3655.672,1.6016726513383732,0.9906341982649339
B0005,6,3.5530561298298746,2.65191689384378,4.188186735991303,0.2252180373512236,-1.8741815696228925,0.5101954557207655,32.522525617288935,24.7342661639544,38.81879668981741,3.3619156807230675,3631.203,1.5362698421475236,0.984003453439538
B0005,8,3.545848520169726,2.592947964776547,4.188461118855572,0.2261011414656005,-1.864037344048195,0.5266493566824428,32.492082733461324,24.65423646922845,38.67251117886956,3.338197252986461,3631.563,1.5955131540790246,0.9841010082287465
B0005,10,3.5444560561341745,2.547419651124539,4.188298524761055,0.230189230083559,-1.864575773405908,0.5266076023013043,32.36861157501472,24.524796959348127,38.5588283762414,3.354728024238194,3588.563,1.640878873636516,0.9724486306288437
B0005,12,3.555518011319956,2.5209480504077413,4.188815807948604,0.2344422419306994,-1.8945817964784624,0.474405694545535,32.25124161987058,24.51442664842638,38.75169504640032,3.3716398718307707,3652.281,1.6678677575408627,0.989715286347695
B0005,14,3.550391740377309,2.487927319492314,4.18839163793879,0.2389174683146263,-1.8646254284434296,0.5266774464790951,32.36619211449594,24.575581239008407,38.8207012322275,3.390571679275831,3650.828,1.700464318446476,0.9893215443790285
B0005,16,3.5574364512144108,2.665204904745877,4.188023389493804,0.2211405890688491,-1.8939547080843224,0.4756200537463191,32.36748861666198,24.71132429046902,38.51713023385634,3.3026995313814917,3535.312,1.5228184847479267,0.958018380406229
B0005,18,3.5534969394692286,2.603858472633368,4.189029250882121,0.2268028390231561,-1.8837619852720144,0.4940785515087115,32.339648365008244,24.63521163332469,38.526267904657,3.3255156444677683,3550.594,1.5851707782487532,0.9621595812081294
B0005,20,3.557887851734781,2.552853984885676,4.189223427076418,0.2353723548165397,-1.893487148309874,0.4754552046291659,32.19118046612876,24.561560340089137,38.52698128472781,3.3763685926619504,3531.032,1.636369442190742,0.9568585623567504
B0005,22,3.556347543611306,2.472448301852732,4.188916055911241,0.2414593553291922,-1.9036917204745167,0.4558465951535203,32.0681281788752,24.43128509546442,38.54143406601644,3.4088206313601312,3510.078,1.7164677540585087,0.951180331653765
B0005,25,3.560471978306512,2.64956413267546,4.189876247266316,0.2230880061059879,-1.903523793254642,0.4572145277868965,32.347660087219026,24.7443285138996,38.52197451768004,3.306461113706378,3491.016,1.5403121145908556,0.9460148055651756
B0005,27,3.560356687760622,2.5724981777366227,4.188451561772066,0.2286465104384634,-1.924011464015785,0.4134211938390326,32.283606892877664,24.73310769931152,38.582485834057856,3.318692310070881,3453.531,1.6159533840354432,0.9358569131388416
B0005,29,3.566431185901457,2.5249886697730286,4.188837765892728,0.232404678616878,-1.934571869525214,0.388818078491097,32.01589604581678,24.44798340505406,38.52029413487392,3.371024808789028,3470.0,1.6638490961196997,0.9403197737596044
B0005,31,3.565634950208217,2.694621861688723,4.189110301768517,0.2161982392296844,-1.9233954496170995,0.4144425821155328,32.00004598138285,24.47211924021532,38.16868880096884,3.290147817149588,3450.297,1.494488440079794,0.9349805459491187
B0005,33,3.559994137027421,2.64010141737067,3.987722040455941,0.217784235889008,-1.945078343206848,0.3628839276377356,31.934592080993266,24.38409050201678,38.1983618706913,3.2844356896165303,3393.625,1.347620623085271,0.9196232542434979
B0005,35,3.5586133415017773,2.573903509838096,4.188899969428112,0.228994041711825,-1.9237956563674357,0.4144062826081433,31.95811723407336,24.3625933569109,38.31926916027133,3.364612650922966,3409.484,1.6149964595900164,0.9239208136936574
B0005,37,3.5591189041401865,2.4942396831720126,4.188779799856791,0.2393950232986541,-1.913347060582244,0.4370967010164596,31.96500864547673,24.382419922756025,38.4787542519308,3.4242153902176304,3390.422,1.6945401166847782,0.9187552876050679
B0005,39,3.564278368616401,2.4556793246645583,4.189272591516219,0.238969980983177,-1.9452487155961955,0.3629324254884453,31.87500939217925,24.355030419469987,38.54659017774874,3.3976507117721475,3390.281,1.7335932668516607,0.9187170786459612
B0005,42,3.5632435756209606,2.632142800798914,4.187614060563439,0.2269297453822666,-1.9050100540014827,0.4537022857712232,32.24684640816458,24.54942444728521,38.40348293513608,3.3170734702994387,3591.734,1.5554712597645248,0.973307925730455
B0005,46,3.559804801759603,2.5027764692056795,4.187628781108399,0.235291052197389,-1.935853719548112,0.3856709462718508,32.62250010726093,24.92210633449132,38.992275791716615,3.3496515809487035,3531.906,1.68485231190272,0.9570954037061065
B0005,50,3.5614876690927493,2.617507742871704,4.187447226312926,0.2304878072098402,-1.8938944510510092,0.4743651574989773,32.2641076259887,24.56596639952811,38.51424197364312,3.3744907203272194,3531.578,1.5699394834412224,0.9570065204537165
B0005,54,3.564026339240492,2.694074478000972,4.187344026387161,0.217994243564017,-1.924398562511463,0.4122686341599196,31.948491054200577,24.21658146702539,38.165816144899125,3.339960367028486,3492.907,1.493269548386189,0.9465272391940458
B0005,58,3.559694165479913,2.6237674644021887,3.9858626870028,0.2148239550225297,-1.9350422890280785,0.3876768025748265,31.85540777072931,24.118794641964104,38.1130812025911,3.295978829450579,3476.0,1.362095222600611,0.9419456869130792
B0005,62,3.5575955020525787,2.5010798299873738,4.18774138117799,0.233649766699409,-1.935001805130039,0.3876027422636529,31.7919325371283,24.028778234327,38.27549578575718,3.3992922320761068,3431.9370000000054,1.686661551190617,0.9300052516994872
B0005,66,3.565914193388977,2.68499881852498,4.188261122540052,0.2181438305357045,-1.945369728716904,0.3619374553775654,31.65359519098474,23.93841461307264,37.98216079918311,3.367044936193427,3410.938,1.5032623040150717,0.9243148266478495
B0005,70,3.562842775719494,2.547109116468133,4.187338767288234,0.2311002737124367,-1.9239786535423664,0.4133295969485227,31.56095538857845,23.811534187517506,38.01919311449829,3.4461747495839625,3412.406,1.640229650820101,0.9247126333993996
B0005,74,3.556833231052199,2.471314764334132,4.187560306288175,0.2401290130965144,-1.9136209099025527,0.4361071320744154,31.565586498787077,23.754765330883423,38.18831137948753,3.4898223105000934,3410.688,1.7162455419540428,0.9242470802664547
B0005,78,3.568290947384154,2.6613903306108773,4.187277232524605,0.2141206823488732,-1.9560590740747523,0.3331748598853075,31.50585068229266,23.79410930748377,37.93152652621658,3.351789865200375,3393.984,1.5258869019137276,0.9197205380471808
B0005,82,3.5669461267660054,2.541762355407921,4.187667484260542,0.2280872912736592,-1.945134928871696,0.3630399788838905,31.500679894512725,23.80130098691845,38.093497951802846,3.4284228582798164,3392.719,1.645905128852621,0.9193777413573232
